subject,roi,hemi,n_voxels,r_w1_com_ind_face_first,r_w2_ind_face_noncom,r_b1_com_ind_face_noncom,r_b2_face_first_ind,decoding_index
5,TPJ,r,305,0.5443662941485665,0.3681239163109663,0.3656249108044336,0.361609115993417,0.092628091830841
5,fSTS,r,91,0.9024907834592646,0.8980970579365009,0.9483228162909936,0.769168719787763,0.0415481526585044
5,FFA,r,107,0.6444293485723929,0.503879532928845,0.5499435016868888,0.5886579448677207,0.0048537174733142
5,EBA,r,152,0.2850440145819161,0.3734111209815978,0.5125673815709202,0.2176143565634835,-0.0358633012854448
5,EVC,r,263,0.910578313189272,0.8577684801220626,0.848634491471085,0.9157401312317504,0.0019860853042495
5,MT,r,165,0.7780625997119939,0.7163781075066751,0.8486309864035522,0.6611196954356158,-0.0076549873102494
8,SI-STS,l,216,0.7887152450188134,0.6377951476364285,0.7286285558602135,0.4876925396019115,0.1050946485965585
8,TPJ,l,313,0.758974300323576,0.8387542134105107,0.8331708666322308,0.8069318694367826,-0.0211871111674633
8,fSTS,l,23,0.715573050873661,0.5437129336742255,0.6915755207316618,0.4843827887309466,0.041663837542639
8,FFA,l,106,0.6819291085091792,0.8817094065040645,0.8651699210508692,0.6964800089492587,0.0009942925065579
8,EBA,l,114,0.8295632983575633,0.883492366293712,0.8358455922656662,0.8424502898853717,0.0173798912501185
8,EVC,l,249,0.948292624073863,0.9388915816290784,0.933088209905395,0.9193470123633766,0.0173744917170848
8,MT,l,165,0.9024794634184224,0.956006071425774,0.954525939695021,0.8999830497148947,0.0019882727171403
8,SI-STS,r,143,0.7060443686670675,0.8291510021362523,0.8746109602158567,0.6226836211931421,0.0189503946971605
8,TPJ,r,322,0.7480202604777069,0.8742444902792228,0.7793003821004086,0.8972131347883054,-0.0271243830658922
8,fSTS,r,91,0.9143206426542916,0.8402119628709631,0.8570491599075825,0.8026778119717457,0.0474028168229633
8,FFA,r,107,0.8421928206817904,0.9214736369600456,0.8816229063112637,0.8768829581599465,0.0025802965853128
8,EBA,r,136,0.4632825571845645,0.81111692932936,0.8292222802868194,0.4230012339840694,0.0110879861215178
8,EVC,r,263,0.9243668844227176,0.8994108802239347,0.8901621562220872,0.8816022808109494,0.0260066638068079
8,MT,r,165,0.9355414485293748,0.9482192579943132,0.9446030841595776,0.922427468027088,0.0083650771685112
11,SI-STS,l,203,0.7399203820104093,0.8790670012764723,0.8709000599871421,0.7382238425929217,0.0049317403534088
11,TPJ,l,288,0.7852557007810452,0.8117060004350198,0.8415248823878777,0.6784912680932833,0.038472775367452
11,fSTS,l,16,0.8623873169726538,0.7173882354460175,0.5997220248630917,0.3456450855662659,0.3172042209946569
11,FFA,l,106,0.758509685370282,0.8482994165745438,0.7661025824490357,0.8015036081840325,0.0196014556558786
11,EBA,l,93,0.7798001908899792,0.9215194008820636,0.9366763492245396,0.7504621096580968,0.0070905664447032
11,EVC,l,249,0.922818305433686,0.8967495737085228,0.9331115334539448,0.8866260115844222,-8.483294807909436e-05
11,MT,l,166,0.7297832222082482,0.8423206663769556,0.8292281519593496,0.7504948331583645,-0.0038095482662551
