hemi,roi,c1,c2,diff,t,dof,p
l,TPJ,belief,photo,0.42520446463138306,7.87230495619484,7,5.049872892359378e-05
l,fSTS,face-first,face-noncom,0.25985761186347023,4.427466919609823,8,0.00110221824419104
l,fSTS,face-third,face-noncom,0.25053823543711895,2.9609452846183015,8,0.009060012232799985
l,fSTS,com-ind,ind,0.15902259851073952,2.370731924052975,8,0.02259737803039571
l,fSTS,com-joint,joint,0.2172676238409067,2.401888428696045,8,0.02152483783141642
l,fSTS,joint,ind,-0.01777861037632523,-0.5468364634309775,8,0.7002960155737958
l,fSTS,interact,noninteract,0.11839468107070045,1.5447007615668198,8,0.08049934209378955
l,fSTS,belief,photo,0.13628883398542468,2.4581288349573716,7,0.021792352199832648
r,EBA,face-first,face-noncom,-0.20991318553463512,-3.4508085973175917,8,0.9956577723381169
r,EBA,face-third,face-noncom,-0.0860801206073004,-1.4524468800932258,8,0.9077783912461818
r,EBA,com-ind,ind,0.22249215198121805,4.104600502152624,8,0.0017079966184707052
r,EBA,com-joint,joint,0.09190189045303863,1.2937394512989986,8,0.1159276395929626
r,EBA,joint,ind,0.39572848230424157,7.030015253139321,8,5.465966236037573e-05
r,EBA,interact,noninteract,0.07156607691711238,1.378158440464161,8,0.10273408707911141
r,EBA,belief,photo,0.07358078939823412,1.8788449444530353,7,0.05116970897721926
r,EVC,face-first,face-noncom,0.10280288693652549,1.2222617047335798,8,0.12819784033114076
r,EVC,face-third,face-noncom,0.07461145573446555,0.8379338385649854,8,0.2131959670380144
r,EVC,com-ind,ind,0.193394401475959,3.158642208482225,8,0.006711205770814826
r,EVC,com-joint,joint,0.06652289016270507,0.6920273018361892,8,0.25425187999304144
r,EVC,joint,ind,0.013700344698808604,0.11075359489080006,8,0.4572699473054238
r,EVC,interact,noninteract,-0.2192639977692139,-4.390023442361088,8,0.9988412628840585
r,EVC,belief,photo,0.027762128349744314,1.0693789652576198,7,0.1601908395201993
r,FFA,face-first,face-noncom,0.10230116059254112,1.8117870702748917,8,0.053798032496034306
r,FFA,face-third,face-noncom,0.04437199389133887,0.7023938769501055,8,0.25117772828092844
r,FFA,com-ind,ind,0.1743888148724011,4.239784936309988,8,0.0014191514076181268
r,FFA,com-joint,joint,0.10318377283191302,1.6349436186442428,8,0.07035024449908119
r,FFA,joint,ind,0.07250301055553426,1.068880543673781,8,0.1581558160645002
r,FFA,interact,noninteract,-0.023256115699239396,-0.4732982717057633,8,0.6756769736382675
r,FFA,belief,photo,0.0561845908418897,3.0373980899958677,7,0.009458089824943396
r,MT,face-first,face-noncom,-0.27723475412058096,-3.1665418541549797,8,0.9933682172438871
r,MT,face-third,face-noncom,-0.1488444098654451,-1.8705323150091102,8,0.9508367422273888
r,MT,com-ind,ind,0.424093519683354,5.051341324799516,8,0.0004938033541236194
r,MT,com-joint,joint,0.041747829301034566,0.6104319928615527,8,0.27925705725326033
r,MT,joint,ind,0.7043622309481754,7.583403850378505,8,3.2019344651612764e-05
r,MT,interact,noninteract,-0.13108277308067995,-2.4589004466767377,8,0.9803068832516805
r,MT,belief,photo,-0.04119808697170882,-0.9789433636684803,7,0.8198895994832607
r,SI-STS,face-first,face-noncom,0.2945784980746419,3.17156389195016,8,0.0065818045068648445
r,SI-STS,face-third,face-noncom,0.2071246689516558,3.090923978224129,8,0.007434362890121046
