hemi,roi,c1,c2,diff,t,dof,p
l,fSTS,face-third,face-noncom,0.23866143955662128,5.2143228132295105,19,2.4684438277388197e-05
l,fSTS,com-ind,ind,0.15688316710473602,3.6371900588220036,19,0.0008767744062633534
l,fSTS,com-joint,joint,0.18790254543130797,4.342602804024953,19,0.00017532531474778962
l,fSTS,interact,noninteract,0.1713590671834828,3.97729815810408,19,0.0004034867471274113
l,fSTS,belief,photo,0.18125272959625602,4.507213352064801,16,0.000179079420485639
l,facecom-STS,face-first,face-noncom,0.23566945607651327,6.269703818495317,19,2.5443519082944034e-06
l,facecom-STS,face-third,face-noncom,0.23013222561146468,6.016151328013645,19,4.338370267666149e-06
l,facecom-STS,com-ind,ind,0.10327317395155741,3.5099849398755327,19,0.0011708365385018453
l,facecom-STS,com-joint,joint,0.10315816778267357,3.3858878959527323,19,0.0015509443783770075
l,facecom-STS,interact,noninteract,0.08865750401015311,2.9362050030123066,19,0.004237899698549787
l,facecom-STS,belief,photo,0.11955332011560733,3.878104560160958,16,0.0006669568050400392
l,phy-STS,face-first,face-noncom,-0.21591810779958287,-3.029207744770814,19,0.9965498746154995
l,phy-STS,face-third,face-noncom,-0.15098079051914853,-2.8177265831705096,19,0.9945046971377831
l,phy-STS,com-ind,ind,0.2519411475811877,8.383533190994218,19,4.1511622346271304e-08
l,phy-STS,com-joint,joint,-0.15842201047750593,-3.022209870590514,19,0.9964959033888827
l,phy-STS,interact,noninteract,-0.009773412384367982,-0.21895137393508188,19,0.5854886285289389
l,phy-STS,belief,photo,0.09496741290680553,3.3154953344065543,16,0.00218707017235976
r,EBA,face-first,face-noncom,-0.28390235351395304,-7.004788059446351,19,0.99999943186306
r,EBA,face-third,face-noncom,-0.12890484946838662,-2.961769330637547,19,0.9959944629142374
r,EBA,com-ind,ind,0.23368326970644132,6.49888491247277,19,1.5820497614559077e-06
r,EBA,com-joint,joint,0.024951046161972894,0.6676845166076014,19,0.25618210650709194
r,EBA,interact,noninteract,0.10978632095437142,3.092847177192068,19,0.002994919484441927
r,EBA,belief,photo,0.09963580236612811,4.05424754527293,16,0.000460426775501868
r,EVC,face-first,face-noncom,0.11772992654200423,2.398438945531667,19,0.013446111622701502
r,EVC,face-third,face-noncom,0.10968344247504591,2.087693696567522,19,0.025264837333804763
r,EVC,com-ind,ind,0.11326233068402222,2.7031298835486406,19,0.0070468925305135505
r,EVC,com-joint,joint,0.046087459694833924,0.9944485745905868,19,0.1662507299232553
r,EVC,interact,noninteract,-0.22756265284407734,-6.244536421498895,19,0.9999973182394857
r,EVC,belief,photo,0.046876766270571545,1.6437689136700162,16,0.0598632631341539
r,FFA,face-first,face-noncom,0.0012088670546847925,0.027986327020849508,19,0.4889824627722881
r,FFA,face-third,face-noncom,0.016656396955001596,0.42821257003677315,19,0.3366556365291396
r,FFA,com-ind,ind,0.1356115106464605,4.40658218884333,19,0.0001515737497445068
r,FFA,com-joint,joint,0.09337127229589201,2.9558027177007666,19,0.004058643158911545
r,FFA,interact,noninteract,0.025741054557431652,0.8500144944866107,19,0.20295064177920102
r,FFA,belief,photo,0.05482660747838123,2.6046860206836664,16,0.009578779530758244
r,MT,face-first,face-noncom,-0.4609536954464818,-6.7291677747262355,19,0.9999990116393092
r,MT,face-third,face-noncom,-0.2620042486655213,-4.219032654297581,19,0.9997676512732305
r,MT,com-ind,ind,0.36205678181930556,7.5477119800325765,19,1.9670919779291598e-07
r,MT,com-joint,joint,-0.043598318149057604,-1.1679973475076546,19,0.8713720501742787
r,MT,interact,noninteract,-0.10836337210913152,-3.0324573610847847,19,0.9965746625920591
r,MT,belief,photo,-0.025080201797918505,-0.9485177390043918,16,0.8215132525633728
r,SI-STS,face-first,face-noncom,0.26960045907484187,4.532559167762693,19,0.00011386452458026144
r,SI-STS,face-third,face-noncom,0.23642371175516344,5.2873148988226415,19,2.10087134579436e-05
r,SI-STS,com-ind,ind,0.2914740930757199,6.115255077864013,19,3.5181951598850914e-06
r,SI-STS,com-joint,joint,0.11775781851537055,1.9918366523693232,19,0.0304800981481027
r,SI-STS,interact,noninteract,0.3597164817979526,6.9340302607112445,19,6.542750595443748e-07
r,SI-STS,belief,photo,0.3328749613887179,7.295622218376931,16,8.973037444270975e-07
r,TPJ,face-first,face-noncom,0.11766484664788948,2.7453181953795083,16,0.00718585141963093
r,TPJ,face-third,face-noncom,0.07560217232840996,2.265522920979923,16,0.018855778799074477
r,TPJ,com-ind,ind,0.09348211070730648,1.896811422920058,16,0.0380273233298316
r,TPJ,com-joint,joint,-0.021883146937387753,-0.2916042192209246,16,0.6128320132583699
