hemi,roi,trial_type,run,response,subject_label
l,FFA,face_first,4.0,1.7186626612646394,sub-02
l,FFA,face_noncom,4.0,1.6918353309050749,sub-02
l,FFA,face_third,4.0,1.883943983835985,sub-02
l,FFA,ind,4.0,1.629823025239084,sub-02
l,FFA,interact,1.5,0.2087216897246108,sub-02
l,FFA,noninteract,1.5,0.2582062613151643,sub-02
l,FFA,object,4.0,0.5204092376406497,sub-02
l,FFA,phy,4.0,1.6331743627807225,sub-02
l,MT,body,4.0,3.242994252957436,sub-02
l,MT,com_ind,4.0,2.991572198454586,sub-02
l,MT,com_phy,4.0,3.338807477689885,sub-02
l,MT,face_first,4.0,2.5346339230173065,sub-02
l,MT,face_noncom,4.0,2.999086928972165,sub-02
l,MT,face_third,4.0,2.7852728354554506,sub-02
l,MT,ind,4.0,2.647057451226212,sub-02
l,MT,interact,1.5,2.0526214702400263,sub-02
l,MT,noninteract,1.5,2.4990827280192764,sub-02
l,MT,object,4.0,3.099288003260886,sub-02
l,MT,phy,4.0,3.61722919112187,sub-02
l,SI-STS,body,1.5,0.251271845015542,sub-02
l,SI-STS,com_ind,1.5,0.5861223133212998,sub-02
l,SI-STS,com_phy,1.5,0.7355652518589554,sub-02
l,SI-STS,face_first,1.5,0.4842216605920083,sub-02
l,SI-STS,face_noncom,1.5,0.4594758417879072,sub-02
l,SI-STS,face_third,1.5,0.7014336510197721,sub-02
l,SI-STS,ind,1.5,0.5364850142238194,sub-02
l,SI-STS,interact,1.5,0.3002454553360196,sub-02
l,SI-STS,noninteract,1.5,0.0812347471138,sub-02
l,SI-STS,object,1.5,0.100122317370478,sub-02
l,SI-STS,phy,1.5,0.514807522800507,sub-02
l,fSTS,body,4.0,-0.104268214172081,sub-02
l,fSTS,com_ind,4.0,-0.1514548229545344,sub-02
l,fSTS,com_phy,4.0,0.0563766297857181,sub-02
l,fSTS,face_first,4.0,0.0747176107371548,sub-02
l,fSTS,face_noncom,4.0,0.0102535751427167,sub-02
l,fSTS,face_third,4.0,0.1520438235113163,sub-02
l,fSTS,ind,4.0,0.0116956392595927,sub-02
l,fSTS,interact,1.5,-0.1195457941162536,sub-02
l,fSTS,noninteract,1.5,-0.2613730787550077,sub-02
l,fSTS,object,4.0,-0.4019696216794069,sub-02
l,fSTS,phy,4.0,-0.186347725169422,sub-02
r,EBA,body,4.0,1.6430010388511915,sub-02
r,EBA,com_ind,4.0,1.7497020680283055,sub-02
r,EBA,com_phy,4.0,2.064129656153631,sub-02
r,EBA,face_first,4.0,0.991629726347254,sub-02
r,EBA,face_noncom,4.0,1.3707468574383723,sub-02
r,EBA,face_third,4.0,1.33262870771415,sub-02
r,EBA,ind,4.0,1.5343631709334242,sub-02
r,EBA,interact,1.5,1.3349024957139006,sub-02
r,EBA,noninteract,1.5,1.181675392011985,sub-02
r,EBA,object,4.0,0.8582285380569158,sub-02
r,EBA,phy,4.0,2.033213273171308,sub-02
r,EVC,body,4.0,3.091308422934105,sub-02
r,EVC,com_ind,4.0,4.424528852608874,sub-02
r,EVC,com_phy,4.0,4.28677627327716,sub-02
r,EVC,face_first,4.0,4.105622213675261,sub-02
r,EVC,face_noncom,4.0,3.679325082041371,sub-02
r,EVC,face_third,4.0,4.193106124237046,sub-02
r,EVC,ind,4.0,4.509919016953817,sub-02
