subject,roi,hemi,n_voxels,pair,cond1,cond2,r_w1_reliability,r_w2_reliability,r_b_between,within_decoding_index
8,EBA,l,114,dyad,com_ind,ind,0.9504942271598988,0.9268721932722758,0.9514952505683454,-0.0128120403522581
8,EBA,l,114,face,face_first,face_noncom,0.9411710040290412,0.9467600441532948,0.8830033906984658,0.0609621333927021
8,EVC,l,249,dyad,com_ind,ind,0.9645734375634016,0.9501328777552952,0.9536536430784466,0.003699514580902
8,EVC,l,249,face,face_first,face_noncom,0.9569236024388256,0.929682873009774,0.91321982295953,0.0300834147647698
8,MT,l,165,dyad,com_ind,ind,0.9811060205537953,0.9847262686507154,0.9701284126661276,0.0127877319361277
8,MT,l,165,face,face_first,face_noncom,0.9849039539690772,0.9497629747442056,0.9434969199281308,0.0238365444285104
8,SI-STS,r,143,dyad,com_ind,ind,0.8255814927118292,0.7782857910819683,0.810561437961946,-0.0086277960650472
8,SI-STS,r,143,face,face_first,face_noncom,0.8962865047419054,0.8717461616474533,0.7106256185510427,0.1733907146436366
8,TPJ,r,322,dyad,com_ind,ind,0.5959531667144586,0.8885937202865065,0.7894247104907746,-0.047151266990292
8,TPJ,r,322,face,face_first,face_noncom,0.9638877834785816,0.9275515812638508,0.9056627888865024,0.0400568934847138
8,fSTS,r,91,dyad,com_ind,ind,0.9400931370138712,0.8878712761983109,0.8950887492847384,0.0188934573213526
8,fSTS,r,91,face,face_first,face_noncom,0.9652720560320984,0.9023850873138708,0.8466998830552434,0.0871286886177412
8,FFA,r,107,dyad,com_ind,ind,0.8776834859972238,0.91898449510044,0.8660762839203546,0.0322577066284772
8,FFA,r,107,face,face_first,face_noncom,0.8867276170904138,0.8858407596924055,0.893014675561389,-0.0067304871699793
8,EBA,r,136,dyad,com_ind,ind,0.9564614009666244,0.988033113365186,0.9791899324938615,-0.0069426753279564
8,EBA,r,136,face,face_first,face_noncom,0.9621559719511616,0.941632546571457,0.7224421628958169,0.2294520963654924
8,EVC,r,263,dyad,com_ind,ind,0.9701997221013288,0.9625208167768364,0.9760053935337618,-0.0096451240946793
8,EVC,r,263,face,face_first,face_noncom,0.9653544227485092,0.9658545596860868,0.8223202713414774,0.1432842198758205
8,MT,r,165,dyad,com_ind,ind,0.98374847479714,0.986119306134754,0.9845101071498752,0.0004237833160718
8,MT,r,165,face,face_first,face_noncom,0.9817557178769988,0.9710370208574436,0.974102675417965,0.0022936939492561
9,SI-STS,l,178,dyad,com_ind,ind,0.9498408420509376,0.8688228711828743,0.9090525036069248,0.0002793530099812
9,SI-STS,l,178,face,face_first,face_noncom,0.8739904989136624,0.9285573255271812,0.8677803646588885,0.0334935475615333
9,TPJ,l,304,dyad,com_ind,ind,0.7523979314305896,0.7706425043623776,0.7307530840291538,0.0307671338673297
9,TPJ,l,304,face,face_first,face_noncom,0.5708873773546499,0.849591182910634,0.6166997673496089,0.093539512783033
9,fSTS,l,23,dyad,com_ind,ind,0.9336804493531324,0.7902723020401043,0.8652405501160843,-0.0032641744194659
9,fSTS,l,23,face,face_first,face_noncom,0.6722035667496571,0.8326085553754236,0.7064893120050829,0.0459167490574573
9,FFA,l,106,dyad,com_ind,ind,0.7723923736520638,0.8956746645506837,0.8537819490956458,-0.019748429994272
9,FFA,l,106,face,face_first,face_noncom,0.8501753233621434,0.929666747382146,0.7558418482939725,0.1340791870781722
9,EBA,l,104,dyad,com_ind,ind,0.945657434705711,0.8335690730230582,0.8902979074552366,-0.000684653590852
9,EBA,l,104,face,face_first,face_noncom,0.9308122980744936,0.9787128100417916,0.8956141699962398,0.0591483840619028
9,EVC,l,249,dyad,com_ind,ind,0.9739315732146362,0.960917604562329,0.968963589762354,-0.0015390008738713
9,EVC,l,249,face,face_first,face_noncom,0.980724436063948,0.9694305032862116,0.9679502547273235,0.0071272149477563
9,MT,l,166,dyad,com_ind,ind,0.8996444892098932,0.8842437155709834,0.9200394111426572,-0.0280953087522189
9,MT,l,166,face,face_first,face_noncom,0.9331185956987184,0.9761210183070396,0.3064205565001496,0.6481992505027294
9,SI-STS,r,128,dyad,com_ind,ind,0.9408505600800654,0.8942111299400473,0.917086429358569,0.0004444156514873
9,SI-STS,r,128,face,face_first,face_noncom,0.8998640043598715,0.8746535746212502,0.770389681300637,0.1168691081899238
9,TPJ,r,320,dyad,com_ind,ind,0.939360796285607,0.905399844101845,0.932254028902189,-0.009873708708463
9,TPJ,r,320,face,face_first,face_noncom,0.8060022087289344,0.9108559849458034,0.8396219038530042,0.0188071929843647
